Verbo(nselect:0) 	 	 {have, have got, hold}(nselect:3)
{change, alter, modify}(nselect:0) 	 	 {obfuscate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {synchronize, synchronise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mince, soften, moderate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {militarize, militarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {break down, crush}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fatten, fat, flesh out, fill out, plump, plump out, fatten out, fatten up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {touch, disturb}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dull}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dull, blunt}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sharpen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {coarsen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {untie, undo, loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {barb}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {string}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {straighten, straighten out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bring}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mix, mingle, commix, unify, amalgamate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {charge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {put}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clean, make clean}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dirty, soil, begrime, grime, colly, bemire}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lower, depress}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {break, break up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {alter}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decorate, adorn, grace, ornament, embellish, beautify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {humanize, humanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {humble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {estrange, alienate, alien, disaffect}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {right}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {desensitize, desensitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deodorize, deodorise, deodourise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {develop}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blur}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blind}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {change intensity}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {change taste}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {substitute, replace, interchange, exchange}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {capture}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lend, impart, bestow, contribute, add, bring}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {restore, reinstate, reestablish}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {liberalize, liberalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {right, compensate, redress, correct}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {democratize, democratise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {neutralize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {corrupt, pervert, subvert, demoralize, demoralise, debauch, debase, profane, vitiate, deprave, misdirect}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {relax, loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unite, unify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {flocculate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {turn}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cohere}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shape, form}(nselect:2)
{shape, form}(nselect:2) 	 	 {individuate}(nselect:0)
{shape, form}(nselect:2) 	 	 {tie}(nselect:0)
{shape, form}(nselect:2) 	 	 {terrace}(nselect:0)
{shape, form}(nselect:2) 	 	 {fork}(nselect:0)
{shape, form}(nselect:2) 	 	 {tabulate}(nselect:0)
{shape, form}(nselect:2) 	 	 {dimension}(nselect:0)
{shape, form}(nselect:2) 	 	 {roll}(nselect:0)
{shape, form}(nselect:2) 	 	 {draw}(nselect:0)
{shape, form}(nselect:2) 	 	 {strike}(nselect:0)
{shape, form}(nselect:2) 	 	 {crystallize, crystallise, crystalise, crystalize}(nselect:0)
{shape, form}(nselect:2) 	 	 {twist}(nselect:0)
{shape, form}(nselect:2) 	 	 {sliver}(nselect:0)
{shape, form}(nselect:2) 	 	 {ridge}(nselect:0)
{shape, form}(nselect:2) 	 	 {plume}(nselect:0)
{shape, form}(nselect:2) 	 	 {round, round out, round off}(nselect:0)
{shape, form}(nselect:2) 	 	 {scallop, scollop}(nselect:0)
{shape, form}(nselect:2) 	 	 {square, square up}(nselect:0)
{shape, form}(nselect:2) 	 	 {dish}(nselect:0)
{shape, form}(nselect:2) 	 	 {fit}(nselect:0)
{shape, form}(nselect:2) 	 	 {flatten}(nselect:0)
{shape, form}(nselect:2) 	 	 {deform, distort, strain}(nselect:0)
{shape, form}(nselect:2) 	 	 {blow}(nselect:0)
{shape, form}(nselect:2) 	 	 {block}(nselect:0)
{shape, form}(nselect:2) 	 	 {block}(nselect:0)
{shape, form}(nselect:2) 	 	 {cup}(nselect:0)
{shape, form}(nselect:2) 	 	 {encircle, circle}(nselect:0)
{shape, form}(nselect:2) 	 	 {turn}(nselect:0)
Verbo(nselect:0) 	 	 {become}(nselect:0)
{become}(nselect:0) 	 	 {occur, come}(nselect:0)
{become}(nselect:0) 	 	 {root}(nselect:0)
{become}(nselect:0) 	 	 {form, take form, take shape, spring}(nselect:0)
{become}(nselect:0) 	 	 {arise, come up, bob up}(nselect:0)
{become}(nselect:0) 	 	 {make}(nselect:0)
{become}(nselect:0) 	 	 {originate, arise, rise, develop, uprise, spring up, grow}(nselect:1)
{originate, arise, rise, develop, uprise, spring up, grow}(nselect:1) 	 	 {resurge}(nselect:0)
{originate, arise, rise, develop, uprise, spring up, grow}(nselect:1) 	 	 {come forth, emerge}(nselect:0)
{originate, arise, rise, develop, uprise, spring up, grow}(nselect:1) 	 	 {come, follow}(nselect:0)
{originate, arise, rise, develop, uprise, spring up, grow}(nselect:1) 	 	 {well up, swell}(nselect:0)
{originate, arise, rise, develop, uprise, spring up, grow}(nselect:1) 	 	 {head}(nselect:0)
Verbo(nselect:0) 	 	 {travel, go, move, locomote}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {go around, spread, circulate}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {carry}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ease}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {whish}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {float}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {swap}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {seek}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {whine}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {fly}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ride}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {come}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ghost}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {betake oneself}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {pass over, overfly}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {wend}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {do}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {raft}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {get around, get about}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {repair, resort}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {cruise}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel, journey}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {come, come up}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {round}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {trundle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {push}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel purposefully}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {swing}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {walk, take the air}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {weave, wind, thread, meander, wander}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {forge, spurt, spirt}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {crawl, creep}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {scramble}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {slither, slide}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {wheel, roll}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {glide}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {bounce, jounce}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {breeze}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {float, drift, be adrift, blow}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {play}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {float, swim}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {swim}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {walk}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {turn, move around}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {circle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {slice into, slice through}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {stray, err, drift}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {run}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {step}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {drive, motor}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {automobile}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ski}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {fly, wing}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {steamer, steam}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {tram}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {taxi}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ferry}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {caravan}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ride, sit}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {prance}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {swim}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {rise, lift, arise, move up, go up, come up, uprise}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ascend, go up}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {descend, fall, go down, come down}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {fall}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {zigzag, crank}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {follow, travel along}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {advance, progress, pass on, move on, march on, go on}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {withdraw, retreat, pull away, draw back, recede, pull back, retire, move back}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {retrograde}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {proceed, go forward, continue}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {back}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {pan}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {follow}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {precede, lead}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {pursue, follow}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {return}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {derail, jump}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {flock}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {accompany}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {billow}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {circulate}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {circle, circulate}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {angle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {pass, go through, go across}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel by, pass by, surpass, go past, go by, pass}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel rapidly, speed, hurry, zip}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {speed}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {zoom}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {drive}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {rush, hotfoot, hasten, hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along, step on it}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {trail, shack}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {shuttle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {hiss, whoosh}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {whisk}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {career}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {circuit}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {lance}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {outflank, go around}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {propagate}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {draw}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {transfer, change}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {swash}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {pace}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {step, tread}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {step}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {hurtle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {retreat}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {whistle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {island hop}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {plow, plough}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {lurch}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {sift}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {fall}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {drag}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {run}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {bang}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {precess}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {travel, move around}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {ride}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {snowshoe}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {beetle}(nselect:0)
{travel, go, move, locomote}(nselect:0) 	 	 {roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond}(nselect:1)
{roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond}(nselect:1) 	 	 {maunder}(nselect:0)
{roll, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond}(nselect:1) 	 	 {gallivant, gad, jazz around}(nselect:0)
Verbo(nselect:0) 	 	 {perceive, comprehend}(nselect:0)
{perceive, comprehend}(nselect:0) 	 	 {spy, sight}(nselect:0)
{spy, sight}(nselect:0) 	 	 {descry, spot, espy, spy}(nselect:0)
{spy, sight}(nselect:0) 	 	 {detect, observe, find, discover, notice}(nselect:2)
{detect, observe, find, discover, notice}(nselect:2) 	 	 {find out, catch out}(nselect:0)
{detect, observe, find, discover, notice}(nselect:2) 	 	 {sense}(nselect:0)
{detect, observe, find, discover, notice}(nselect:2) 	 	 {instantiate}(nselect:0)
{detect, observe, find, discover, notice}(nselect:2) 	 	 {trace}(nselect:0)
{detect, observe, find, discover, notice}(nselect:2) 	 	 {see}(nselect:0)

